"SiteID","inclProb","PSU_habitat","habitat","PSU_ID","Shape_Area_m","max_n","n","geometry","lon","lat"
164909,0.85985792,"130 - alpine","alpine",130,746179.388212793,3,3,c(-120.830118890965, 49.0113097698536),-120.830118890965,49.0113097698536
610733,0.646648832,"130 - alpine","alpine",130,746179.388212793,3,3,c(-120.842968320115, 49.0093037407241),-120.842968320115,49.0093037407241
2404397,0.5729798144,"130 - alpine","alpine",130,746179.388212793,3,3,c(-120.838730488269, 49.0070299277758),-120.838730488269,49.0070299277758
330797,0.58325504,"130 - subalpine","subalpine",130,1381900.05125186,5,5,c(-120.836666800345, 49.014599705922),-120.836666800345,49.014599705922
1284653,0.617501696,"130 - subalpine","subalpine",130,1381900.05125186,5,5,c(-120.819269772783, 49.0128872471843),-120.819269772783,49.0128872471843
1823789,0.901219328,"130 - subalpine","subalpine",130,1381900.05125186,5,5,c(-120.834055611407, 49.0162334017665),-120.834055611407,49.0162334017665
2197037,0.5033805824,"130 - subalpine","subalpine",130,1381900.05125186,5,5,c(-120.832013070886, 49.0220588470525),-120.832013070886,49.0220588470525
3150893,0.7280912384,"130 - subalpine","subalpine",130,1381900.05125186,5,5,c(-120.826556529073, 49.0085845243982),-120.826556529073,49.0085845243982
19757,0.4498688,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.82515081178, 49.0445503596753),-120.82515081178,49.0445503596753
75053,0.62982656,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.834096672907, 49.0584783832295),-120.834096672907,49.0584783832295
439661,0.296870912,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.774910616245, 49.0629377125773),-120.774910616245,49.0629377125773
455213,0.718963712,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.829962608711, 49.0308707323248),-120.829962608711,49.0308707323248
564077,0.432530432,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.768045486721, 49.0414221906944),-120.768045486721,49.0414221906944
584813,0.707167232,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.789316686311, 49.0282289484005),-120.789316686311,49.0282289484005
641837,0.515412992,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.827180757004, 49.0377556819933),-120.827180757004,49.0377556819933
688493,0.721851392,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.764274854139, 49.0578164737015),-120.764274854139,49.0578164737015
704045,0.176202752,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.833388677374, 49.0210498130012),-120.833388677374,49.0210498130012
750701,0.238257152,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.786603858315, 49.03315459339),-120.786603858315,49.03315459339
766253,0.614269952,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.821697469036, 49.0554326393333),-120.821697469036,49.0554326393333
890669,0.941917184,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.81506098029, 49.0211315557554),-120.81506098029,49.0211315557554
937325,0.034694144,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.766184768533, 49.0466476262665),-120.766184768533,49.0466476262665
999533,0.663225344,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.814467923046, 49.0517743527338),-120.814467923046,49.0517743527338
1054829,0.833967104,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.819243087621, 49.0611976871525),-120.819243087621,49.0611976871525
1061741,0.324015104,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.777868845801, 49.0578819440283),-120.777868845801,49.0578819440283
1139501,0.214897664,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.829808013583, 49.0443071303839),-120.829808013583,49.0443071303839
1310573,0.787383296,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.770863240214, 49.0372964694231),-120.770863240214,49.0372964694231
1388333,0.679801856,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.831063967111, 49.0332225548644),-120.831063967111,49.0332225548644
1434989,0.886178816,"130 - uppermontane","uppermontane",130,13992074.9938088,50,20,c(-120.769250580093, 49.0530316372512),-120.769250580093,49.0530316372512
1662653,0.623633408,"131 - alpine","alpine",131,250664.17160796,1,1,c(-120.776840608314, 49.1645138122137),-120.776840608314,49.1645138122137
128189,0.90999296,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.75570034583, 49.1377011560161),-120.75570034583,49.1377011560161
294077,0.43340288,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.795713517678, 49.1788924917053),-120.795713517678,49.1788924917053
625853,0.600200192,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.764907817989, 49.1413021945424),-120.764907817989,49.1413021945424
688061,0.308667392,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.740982912538, 49.1423730562847),-120.740982912538,49.1423730562847
999101,0.202425344,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.761201564974, 49.1476888213332),-120.761201564974,49.1476888213332
1065197,0.591279104,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.78284114642, 49.1486267391803),-120.78284114642,49.1486267391803
1123517,0.530084864,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.774903759115, 49.1562989282572),-120.774903759115,49.1562989282572
1247933,0.665732096,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.749729479883, 49.14162840871),-120.749729479883,49.14162840871
1289405,0.061162496,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.788805364701, 49.1675820580946),-120.788805364701,49.1675820580946
1496765,0.132248576,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.771159063841, 49.1622326002524),-120.771159063841,49.1622326002524
1745597,0.595616768,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.748527556733, 49.143387053373),-120.748527556733,49.143387053373
1787069,0.951354368,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.790360051909, 49.1745384782862),-120.790360051909,49.1745384782862
2118845,0.1977780224,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.761698777281, 49.1429413197987),-120.761698777281,49.1429413197987
2492093,0.7584057344,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.759743969154, 49.1488815417196),-120.759743969154,49.1488815417196
2558189,0.9092409344,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.786639875847, 49.1490252587977),-120.786639875847,49.1490252587977
2724077,0.4329580544,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.797209880339, 49.1663014078294),-120.797209880339,49.1663014078294
2782397,0.5714315264,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.776953958736, 49.1617815743024),-120.776953958736,49.1617815743024
2865341,0.3532580864,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.765111413013, 49.1388089016702),-120.765111413013,49.1388089016702
3155645,0.1735952384,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.776163883621, 49.166600990527),-120.776163883621,49.166600990527
3238589,0.9138857984,"131 - subalpine","subalpine",131,7263077.22695086,26,20,c(-120.755766120102, 49.1469128627727),-120.755766120102,49.1469128627727
34877,0.4126976,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.715671197159, 49.1504472340393),-120.715671197159,49.1504472340393
65981,0.2431232,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.72530070844, 49.1528989235348),-120.72530070844,49.1528989235348
152813,0.70502912,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.753701012911, 49.1075884120499),-120.753701012911,49.1075884120499
211133,0.65157632,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.744794520552, 49.1157811884732),-120.744794520552,49.1157811884732
215021,0.37356032,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.775443966714, 49.0789530839006),-120.775443966714,49.0789530839006
304445,0.18881024,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.65972763275, 49.1375298619992),-120.65972763275,49.1375298619992
314813,0.70644224,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.728310466898, 49.1425698857624),-120.728310466898,49.1425698857624
